Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,7.234375,7.359375,7.218750,7.359375,3.349037,2910400
1990-01-03,7.421875,7.515625,7.421875,7.437500,3.384589,5712000
1990-01-04,7.437500,7.484375,7.421875,7.468750,3.398808,2397600
1990-01-05,7.468750,7.468750,7.390625,7.421875,3.377477,2043200
1990-01-08,7.421875,7.421875,7.328125,7.375000,3.356147,1340800
1990-01-09,7.375000,7.421875,7.312500,7.328125,3.334814,2283200
1990-01-10,7.328125,7.375000,7.296875,7.343750,3.341926,2684800
1990-01-11,7.343750,7.375000,7.328125,7.343750,3.341926,2259200
1990-01-12,7.328125,7.328125,7.203125,7.218750,3.285041,1362400
1990-01-15,7.203125,7.203125,7.156250,7.187500,3.270820,1007200
1990-01-16,7.156250,7.156250,7.078125,7.125000,3.259384,2668000
1990-01-17,7.046875,7.046875,6.812500,6.859375,3.137873,7724000
1990-01-18,6.859375,7.031250,6.687500,6.921875,3.166463,6443200
1990-01-19,6.921875,6.921875,6.843750,6.890625,3.152168,4531200
1990-01-22,6.890625,6.906250,6.765625,6.812500,3.116428,1825600
1990-01-23,6.812500,6.937500,6.796875,6.906250,3.159316,2964800
1990-01-24,6.906250,7.031250,6.781250,6.968750,3.187908,3203200
1990-01-25,6.968750,7.000000,6.890625,6.890625,3.152168,1330400
1990-01-26,6.890625,6.921875,6.812500,6.859375,3.137873,1689600
1990-01-29,6.859375,6.890625,6.765625,6.828125,3.123575,1153600
1990-01-30,6.828125,6.843750,6.734375,6.812500,3.116428,1355200
1990-01-31,6.828125,6.937500,6.828125,6.921875,3.166463,3260000
1990-02-01,6.937500,7.000000,6.937500,6.937500,3.173611,2389600
1990-02-02,6.937500,7.031250,6.875000,6.953125,3.180760,1966400
1990-02-05,6.953125,6.953125,6.875000,6.906250,3.159316,1725600
1990-02-06,6.890625,6.890625,6.828125,6.875000,3.145020,1142400
1990-02-07,6.875000,6.984375,6.781250,6.906250,3.159316,1573600
1990-02-08,6.906250,7.078125,6.906250,7.015625,3.209349,3035200
1990-02-09,7.015625,7.015625,6.921875,6.968750,3.187908,940800
1990-02-12,6.937500,6.937500,6.875000,6.921875,3.166463,1288000
1990-02-13,6.921875,6.921875,6.828125,6.921875,3.166463,1884800
1990-02-14,6.921875,6.968750,6.890625,6.937500,3.173611,1682400
1990-02-15,6.937500,7.031250,6.921875,6.984375,3.195053,1418400
1990-02-16,6.984375,7.078125,6.984375,7.031250,3.216498,2558400
1990-02-20,7.000000,7.000000,6.953125,7.000000,3.202203,1002400
1990-02-21,7.000000,7.109375,6.875000,7.093750,3.245090,1913600
1990-02-22,7.109375,7.281250,7.109375,7.187500,3.287974,3349600
1990-02-23,7.187500,7.250000,7.140625,7.218750,3.302270,1857600
1990-02-26,7.265625,7.421875,7.265625,7.390625,3.380896,4646400
1990-02-27,7.390625,7.562500,7.359375,7.515625,3.438077,6055200
1990-02-28,7.515625,7.578125,7.500000,7.578125,3.466668,3759200
1990-03-01,7.562500,7.562500,7.484375,7.546875,3.452374,2911200
1990-03-02,7.546875,7.765625,7.546875,7.765625,3.552444,7916800
1990-03-05,7.765625,7.796875,7.718750,7.796875,3.566738,2763200
1990-03-06,7.796875,7.843750,7.718750,7.843750,3.588184,3267200
1990-03-07,7.843750,7.859375,7.781250,7.796875,3.566738,2452000
1990-03-08,7.796875,7.812500,7.656250,7.796875,3.566738,3474400
1990-03-09,7.765625,7.765625,7.640625,7.750000,3.545296,3742400
1990-03-12,7.687500,7.687500,7.625000,7.656250,3.502407,2052800
1990-03-13,7.593750,7.593750,7.406250,7.531250,3.445226,8483200
1990-03-14,7.531250,7.531250,7.453125,7.531250,3.445226,4519200
1990-03-15,7.531250,7.593750,7.515625,7.578125,3.466668,3153600
1990-03-16,7.578125,7.609375,7.562500,7.593750,3.473818,2744800
1990-03-19,7.593750,7.687500,7.515625,7.687500,3.516705,1945600
1990-03-20,7.687500,7.750000,7.625000,7.640625,3.495263,2611200
1990-03-21,7.640625,7.671875,7.593750,7.609375,3.480963,1560000
1990-03-22,7.609375,7.609375,7.546875,7.578125,3.466668,2002400
1990-03-23,7.609375,7.703125,7.609375,7.703125,3.523853,2882400
1990-03-26,7.703125,7.750000,7.671875,7.734375,3.538149,2924000
1990-03-27,7.734375,7.734375,7.640625,7.703125,3.523853,1342400
1990-03-28,7.703125,7.718750,7.656250,7.656250,3.502407,1027200
1990-03-29,7.656250,7.656250,7.593750,7.656250,3.502407,778400
1990-03-30,7.656250,7.656250,7.593750,7.640625,3.495263,1112000
1990-04-02,7.578125,7.578125,7.484375,7.515625,3.438077,2544000
1990-04-03,7.531250,7.625000,7.531250,7.609375,3.480963,2569600
1990-04-04,7.609375,7.640625,7.578125,7.578125,3.466668,1610400
1990-04-05,7.578125,7.656250,7.562500,7.640625,3.495263,1200000
1990-04-06,7.593750,7.593750,7.500000,7.546875,3.452374,1929600
1990-04-09,7.546875,7.546875,7.500000,7.531250,3.445226,819200
1990-04-10,7.531250,7.546875,7.500000,7.531250,3.445226,1262400
1990-04-11,7.531250,7.546875,7.500000,7.531250,3.445226,903200
1990-04-12,7.531250,7.546875,7.484375,7.515625,3.438077,2324000
1990-04-16,7.515625,7.578125,7.515625,7.531250,3.445226,2777600
1990-04-17,7.515625,7.515625,7.421875,7.515625,3.455283,959200
1990-04-18,7.515625,7.515625,7.421875,7.421875,3.412181,1271200
1990-04-19,7.421875,7.515625,7.406250,7.484375,3.440916,2141600
1990-04-20,7.484375,7.656250,7.468750,7.562500,3.476836,8148000
1990-04-23,7.562500,7.656250,7.546875,7.578125,3.484016,5410400
1990-04-24,7.625000,7.734375,7.625000,7.656250,3.519933,4377600
1990-04-25,7.671875,7.812500,7.671875,7.781250,3.577403,5344800
1990-04-26,7.781250,7.859375,7.750000,7.812500,3.591773,4086400
1990-04-27,7.796875,7.796875,7.703125,7.718750,3.548669,2827200
1990-04-30,7.718750,7.734375,7.640625,7.671875,3.527119,1590400
1990-05-01,7.671875,7.718750,7.640625,7.656250,3.519933,1205600
1990-05-02,7.656250,7.828125,7.625000,7.828125,3.598954,4767200
1990-05-03,7.828125,7.921875,7.828125,7.843750,3.606140,2600000
1990-05-04,7.843750,7.890625,7.781250,7.859375,3.613320,3759200
1990-05-07,7.859375,8.078125,7.859375,8.046875,3.699522,3384000
1990-05-08,8.046875,8.078125,8.000000,8.078125,3.713888,2956800
1990-05-09,8.078125,8.156250,8.046875,8.125000,3.735441,5216000
1990-05-10,8.125000,8.125000,7.968750,7.968750,3.663605,3237600
1990-05-11,8.062500,8.328125,8.062500,8.281250,3.807276,5644800
1990-05-14,8.296875,8.515625,8.296875,8.406250,3.864745,8752000
1990-05-15,8.375000,8.375000,8.281250,8.328125,3.828827,4753600
1990-05-16,8.328125,8.343750,8.187500,8.203125,3.771359,4322400
1990-05-17,8.203125,8.296875,8.203125,8.250000,3.792909,6077600
1990-05-18,8.250000,8.265625,8.203125,8.250000,3.792909,3316800
1990-05-21,8.250000,8.406250,8.218750,8.375000,3.850376,6319200
1990-05-22,8.375000,8.546875,8.375000,8.421875,3.871931,8536000
1990-05-23,8.421875,8.484375,8.375000,8.468750,3.893477,4380000
1990-05-24,8.468750,8.484375,8.390625,8.468750,3.893477,3849600
1990-05-25,8.468750,8.468750,8.421875,8.453125,3.886298,1559200
1990-05-29,8.453125,8.453125,8.421875,8.453125,3.886298,2933600
1990-05-30,8.453125,8.500000,8.390625,8.437500,3.879112,3254400
1990-05-31,8.437500,8.437500,8.359375,8.375000,3.850376,1753600
1990-06-01,8.375000,8.406250,8.328125,8.359375,3.843195,1752000
1990-06-04,8.359375,8.390625,8.265625,8.390625,3.857562,4615200
1990-06-05,8.421875,8.562500,8.421875,8.468750,3.893477,5160000
1990-06-06,8.453125,8.453125,8.421875,8.453125,3.886298,2325600
1990-06-07,8.453125,8.468750,8.375000,8.390625,3.857562,1782400
1990-06-08,8.390625,8.406250,8.218750,8.312500,3.821644,1494400
1990-06-11,8.296875,8.296875,8.234375,8.234375,3.785726,2165600
1990-06-12,8.234375,8.265625,8.171875,8.250000,3.792909,3391200
1990-06-13,8.250000,8.312500,8.203125,8.218750,3.778542,2272800
1990-06-14,8.218750,8.250000,8.156250,8.250000,3.792909,2128800
1990-06-15,8.250000,8.250000,8.187500,8.203125,3.771359,3251200
1990-06-18,8.203125,8.203125,8.078125,8.078125,3.713888,3456800
1990-06-19,8.078125,8.109375,8.015625,8.046875,3.699522,3138400
1990-06-20,8.046875,8.156250,8.046875,8.140625,3.742625,3072800
1990-06-21,8.062500,8.062500,7.968750,8.031250,3.692340,5426400
1990-06-22,8.031250,8.046875,7.937500,7.937500,3.649239,2927200
1990-06-25,7.671875,7.671875,7.296875,7.312500,3.361897,15147200
1990-06-26,6.578125,6.578125,6.437500,6.562500,3.017088,39300800
1990-06-27,6.562500,6.562500,6.484375,6.531250,3.002719,11750400
1990-06-28,6.531250,6.562500,6.484375,6.546875,3.009904,7788800
1990-06-29,6.546875,6.593750,6.515625,6.578125,3.024271,5550400
1990-07-02,6.578125,6.656250,6.531250,6.625000,3.045822,7339200
1990-07-03,6.640625,6.750000,6.640625,6.750000,3.103291,4628800
1990-07-05,6.718750,6.718750,6.625000,6.687500,3.074555,2619200
1990-07-06,6.671875,6.671875,6.578125,6.609375,3.038638,3207200
1990-07-09,6.625000,6.703125,6.625000,6.687500,3.074555,2110400
1990-07-10,6.687500,6.796875,6.656250,6.656250,3.060189,5738400
1990-07-11,6.656250,6.781250,6.656250,6.781250,3.117655,3385600
1990-07-12,6.781250,6.796875,6.718750,6.796875,3.124840,2547200
1990-07-13,6.796875,6.812500,6.578125,6.593750,3.031453,4672000
1990-07-16,6.593750,6.687500,6.562500,6.671875,3.084917,4260000
1990-07-17,6.671875,6.718750,6.546875,6.593750,3.048791,4864800
1990-07-18,6.593750,6.625000,6.546875,6.578125,3.041570,2308800
1990-07-19,6.562500,6.562500,6.515625,6.562500,3.034343,2534400
1990-07-20,6.562500,6.640625,6.562500,6.562500,3.034343,3292000
1990-07-23,6.562500,6.562500,6.390625,6.484375,2.998221,2940800
1990-07-24,6.484375,6.500000,6.359375,6.375000,2.947648,3568800
1990-07-25,6.375000,6.406250,6.015625,6.234375,2.882627,8115200
1990-07-26,6.234375,6.234375,6.093750,6.125000,2.832054,5448000
1990-07-27,6.125000,6.125000,5.953125,6.000000,2.774258,4069600
1990-07-30,6.000000,6.140625,6.000000,6.109375,2.824829,2328800
1990-07-31,6.109375,6.140625,6.062500,6.109375,2.824829,2137600
1990-08-01,6.109375,6.156250,6.109375,6.156250,2.846504,1399200
1990-08-02,6.000000,6.000000,5.937500,5.953125,2.752584,3386400
1990-08-03,5.953125,5.968750,5.781250,5.890625,2.723685,3607200
1990-08-06,5.750000,5.750000,5.656250,5.656250,2.615315,2733600
1990-08-07,5.656250,5.734375,5.625000,5.656250,2.615315,4390400
1990-08-08,5.687500,5.937500,5.687500,5.828125,2.694788,3464800
1990-08-09,5.828125,5.921875,5.828125,5.921875,2.738135,1673600
1990-08-10,5.921875,5.953125,5.843750,5.875000,2.716460,1237600
1990-08-13,5.859375,5.859375,5.812500,5.828125,2.694788,2027200
1990-08-14,5.828125,5.921875,5.796875,5.921875,2.738135,1052800
1990-08-15,5.921875,5.968750,5.812500,5.843750,2.702012,2952800
1990-08-16,5.828125,5.828125,5.734375,5.750000,2.658664,1291200
1990-08-17,5.656250,5.656250,5.500000,5.578125,2.579192,2644800
1990-08-20,5.578125,5.671875,5.531250,5.656250,2.615315,1668800
1990-08-21,5.578125,5.578125,5.468750,5.484375,2.535845,2037600
1990-08-22,5.484375,5.531250,5.375000,5.375000,2.485272,1578400
1990-08-23,5.375000,5.390625,5.078125,5.296875,2.449149,5992000
1990-08-24,5.328125,5.484375,5.328125,5.484375,2.535845,1904000
1990-08-27,5.593750,5.718750,5.593750,5.593750,2.586417,2592800
1990-08-28,5.593750,5.625000,5.453125,5.484375,2.535845,1252000
1990-08-29,5.484375,5.546875,5.468750,5.468750,2.528620,1880800
1990-08-30,5.468750,5.468750,5.343750,5.343750,2.470822,1199200
1990-08-31,5.343750,5.375000,5.281250,5.375000,2.485272,620000
1990-09-04,5.375000,5.484375,5.375000,5.437500,2.514171,1190400
1990-09-05,5.437500,5.546875,5.375000,5.531250,2.557519,1434400
1990-09-06,5.531250,5.531250,5.343750,5.437500,2.514171,1294400
1990-09-07,5.437500,5.500000,5.421875,5.484375,2.535845,847200
1990-09-10,5.484375,5.593750,5.421875,5.437500,2.514171,3515200
1990-09-11,5.437500,5.437500,5.312500,5.343750,2.470822,3550400
1990-09-12,5.343750,5.375000,5.265625,5.343750,2.470822,1540000
1990-09-13,5.343750,5.359375,5.312500,5.343750,2.470822,900800
1990-09-14,5.312500,5.312500,5.171875,5.203125,2.405801,2049600
1990-09-17,5.203125,5.312500,5.156250,5.312500,2.456374,1546400
1990-09-18,5.312500,5.328125,5.234375,5.328125,2.463598,871200
1990-09-19,5.328125,5.328125,5.234375,5.265625,2.434701,1204000
1990-09-20,5.265625,5.265625,5.218750,5.250000,2.427475,1072000
1990-09-21,5.250000,5.296875,5.218750,5.234375,2.420251,2247200
1990-09-24,5.218750,5.218750,5.140625,5.187500,2.398576,2474400
1990-09-25,5.187500,5.281250,5.187500,5.265625,2.434701,1309600
1990-09-26,5.250000,5.250000,5.156250,5.203125,2.405801,1736000
1990-09-27,5.203125,5.265625,5.140625,5.203125,2.405801,1731200
1990-09-28,5.203125,5.312500,5.109375,5.281250,2.441924,2783200
1990-10-01,5.281250,5.421875,5.265625,5.343750,2.470822,1793600
1990-10-02,5.375000,5.531250,5.375000,5.421875,2.506948,2320000
1990-10-03,5.421875,5.500000,5.406250,5.500000,2.543070,2629600
1990-10-04,5.500000,5.500000,5.390625,5.390625,2.492497,4704000
1990-10-05,5.312500,5.312500,5.234375,5.281250,2.441924,2625600
1990-10-08,5.281250,5.343750,5.234375,5.250000,2.427475,969600
1990-10-09,5.234375,5.234375,4.968750,4.968750,2.297432,4763200
1990-10-10,4.921875,4.921875,4.843750,4.875000,2.254084,4448800
1990-10-11,4.875000,4.968750,4.781250,4.890625,2.261309,2772000
1990-10-12,4.890625,5.000000,4.875000,4.953125,2.290208,1552000
1990-10-15,4.953125,5.093750,4.937500,4.984375,2.304656,1926400
1990-10-16,4.890625,4.890625,4.765625,4.843750,2.256613,2320800
1990-10-17,4.843750,4.859375,4.781250,4.812500,2.242054,3465600
1990-10-18,4.953125,5.093750,4.953125,5.046875,2.351243,2463200
1990-10-19,5.093750,5.296875,5.093750,5.281250,2.460436,2676800
1990-10-22,5.281250,5.328125,5.218750,5.328125,2.482275,1761600
1990-10-23,5.328125,5.484375,5.312500,5.406250,2.518671,2084000
1990-10-24,5.406250,5.406250,5.312500,5.328125,2.482275,1229600
1990-10-25,5.312500,5.312500,5.218750,5.250000,2.445876,978400
1990-10-26,5.203125,5.203125,5.031250,5.046875,2.351243,847200
1990-10-29,5.046875,5.093750,5.000000,5.000000,2.329405,1860800
1990-10-30,5.000000,5.046875,4.937500,5.031250,2.343965,913600
1990-10-31,5.031250,5.125000,5.031250,5.093750,2.373082,1234400
1990-11-01,5.046875,5.046875,4.953125,5.015625,2.336686,2487200
1990-11-02,5.015625,5.187500,4.984375,5.171875,2.409479,2397600
1990-11-05,5.171875,5.171875,5.031250,5.062500,2.358524,2248000
1990-11-06,5.062500,5.156250,5.031250,5.062500,2.358524,1444000
1990-11-07,5.062500,5.109375,4.968750,4.984375,2.322128,3255200
1990-11-08,4.984375,5.062500,4.906250,4.968750,2.314849,1528000
1990-11-09,4.968750,5.156250,4.953125,5.140625,2.394922,2678400
1990-11-12,5.156250,5.421875,5.156250,5.406250,2.518671,2640000
1990-11-13,5.406250,5.437500,5.328125,5.390625,2.511391,2504800
1990-11-14,5.390625,5.468750,5.359375,5.453125,2.540509,1023200
1990-11-15,5.437500,5.437500,5.343750,5.390625,2.511391,1067200
1990-11-16,5.390625,5.437500,5.328125,5.375000,2.504112,739200
1990-11-19,5.390625,5.484375,5.390625,5.453125,2.540509,2272000
1990-11-20,5.453125,5.500000,5.281250,5.375000,2.504112,3161600
1990-11-21,5.375000,5.390625,5.250000,5.296875,2.467715,2436000
1990-11-23,5.125000,5.125000,4.906250,4.921875,2.293010,4577600
1990-11-26,4.921875,5.015625,4.921875,5.015625,2.336686,4036000
1990-11-27,5.031250,5.109375,5.031250,5.078125,2.365804,3588000
1990-11-28,5.078125,5.125000,5.046875,5.046875,2.351243,2092000
1990-11-29,5.046875,5.046875,4.968750,5.000000,2.329405,1948800
1990-11-30,5.000000,5.171875,5.000000,5.140625,2.394922,2613600
1990-12-03,5.218750,5.343750,5.218750,5.312500,2.474995,3143200
1990-12-04,5.312500,5.375000,5.187500,5.359375,2.496833,1881600
1990-12-05,5.359375,5.500000,5.281250,5.500000,2.562348,1208800
1990-12-06,5.531250,5.734375,5.531250,5.578125,2.598745,2690400
1990-12-07,5.578125,5.703125,5.578125,5.640625,2.627862,2260800
1990-12-10,5.656250,5.781250,5.656250,5.734375,2.671539,1817600
1990-12-11,5.703125,5.703125,5.609375,5.640625,2.627862,768000
1990-12-12,5.640625,5.812500,5.625000,5.781250,2.693377,1384000
1990-12-13,5.765625,5.765625,5.671875,5.718750,2.664258,1659200
1990-12-14,5.718750,5.718750,5.578125,5.640625,2.627862,1204800
1990-12-17,5.640625,5.640625,5.546875,5.578125,2.598745,955200
1990-12-18,5.578125,5.812500,5.531250,5.734375,2.671539,2716800
1990-12-19,5.750000,5.921875,5.750000,5.859375,2.729775,2508000
1990-12-20,5.859375,6.031250,5.718750,6.015625,2.802567,2395200
1990-12-21,6.015625,6.031250,5.875000,5.890625,2.744330,2540000
1990-12-24,5.859375,5.859375,5.812500,5.828125,2.715215,821600
1990-12-26,5.828125,5.843750,5.796875,5.812500,2.707935,1209600
1990-12-27,5.812500,5.875000,5.812500,5.812500,2.707935,1064800
1990-12-28,5.812500,5.875000,5.812500,5.828125,2.715215,1098400
1990-12-31,5.828125,5.875000,5.718750,5.875000,2.737052,1917600
1991-01-02,5.875000,5.890625,5.828125,5.828125,2.715215,1411200
1991-01-03,5.828125,5.828125,5.734375,5.734375,2.671539,1003200
1991-01-04,5.718750,5.718750,5.609375,5.640625,2.627862,990400
1991-01-07,5.593750,5.593750,5.515625,5.562500,2.591465,1822400
1991-01-08,5.562500,5.687500,5.546875,5.671875,2.642421,1609600
1991-01-09,5.671875,5.781250,5.515625,5.593750,2.606023,2950400
1991-01-10,5.593750,5.687500,5.578125,5.687500,2.649699,1009600
1991-01-11,5.687500,5.781250,5.671875,5.750000,2.678817,1012800
1991-01-14,5.750000,5.781250,5.687500,5.734375,2.671539,1252800
1991-01-15,5.734375,5.750000,5.656250,5.734375,2.689124,1581600
1991-01-16,5.609375,5.609375,5.406250,5.453125,2.557231,6082400
1991-01-17,5.562500,5.703125,5.562500,5.703125,2.674469,3179200
1991-01-18,5.703125,5.718750,5.500000,5.562500,2.608524,3467200
1991-01-21,5.562500,5.562500,5.515625,5.562500,2.608524,591200
1991-01-22,5.421875,5.421875,5.343750,5.359375,2.513269,2828800
1991-01-23,5.359375,5.500000,5.328125,5.484375,2.571887,2043200
1991-01-24,5.593750,5.859375,5.593750,5.781250,2.711105,3887200
1991-01-25,5.812500,5.984375,5.812500,5.843750,2.740415,2651200
1991-01-28,5.843750,6.000000,5.828125,6.000000,2.813688,3550400
1991-01-29,6.000000,6.125000,5.984375,6.125000,2.872306,2611200
1991-01-30,6.125000,6.312500,6.125000,6.218750,2.916270,3854400
1991-01-31,6.218750,6.265625,6.203125,6.218750,2.916270,3290400
1991-02-01,6.218750,6.312500,6.109375,6.171875,2.894287,2251200
1991-02-04,6.171875,6.281250,6.140625,6.265625,2.938252,1664000
1991-02-05,6.312500,6.375000,6.312500,6.359375,2.982217,3164000
1991-02-06,6.359375,6.359375,6.218750,6.234375,2.923599,2236000
1991-02-07,6.234375,6.250000,6.031250,6.062500,2.842998,3143200
1991-02-08,6.062500,6.078125,5.921875,5.984375,2.806361,2381600
1991-02-11,5.984375,6.125000,5.968750,6.109375,2.864981,5071200
1991-02-12,6.109375,6.250000,6.015625,6.234375,2.923599,6367200
1991-02-13,6.234375,6.328125,6.218750,6.296875,2.952907,1629600
1991-02-14,6.296875,6.390625,6.296875,6.343750,2.974888,3534400
1991-02-15,6.343750,6.406250,6.281250,6.390625,2.996871,2853600
1991-02-19,6.421875,6.515625,6.421875,6.468750,3.033508,2751200
1991-02-20,6.375000,6.375000,6.250000,6.328125,2.967562,4236800
1991-02-21,6.328125,6.406250,6.093750,6.218750,2.916270,4526400
1991-02-22,6.218750,6.234375,6.109375,6.203125,2.908945,4204800
1991-02-25,6.250000,6.359375,6.250000,6.328125,2.967562,3442400
1991-02-26,6.328125,6.328125,6.265625,6.281250,2.945580,1956800
1991-02-27,6.296875,6.859375,6.296875,6.687500,3.136090,10696000
1991-02-28,6.703125,6.984375,6.703125,6.828125,3.202035,8106400
1991-03-01,6.828125,6.890625,6.703125,6.875000,3.224018,3834400
1991-03-04,6.906250,7.125000,6.906250,6.937500,3.253327,6124800
1991-03-05,7.000000,7.171875,7.000000,7.078125,3.319273,5410400
1991-03-06,7.078125,7.203125,6.859375,6.859375,3.216691,8100000
1991-03-07,6.859375,6.906250,6.812500,6.843750,3.209363,3812800
1991-03-08,6.843750,6.984375,6.843750,6.843750,3.209363,1890400
1991-03-11,6.843750,6.937500,6.781250,6.937500,3.253327,2101600
1991-03-12,6.937500,6.984375,6.812500,6.812500,3.194708,2921600
1991-03-13,6.812500,6.890625,6.781250,6.859375,3.216691,1520000
1991-03-14,6.859375,6.937500,6.828125,6.843750,3.209363,2828000
1991-03-15,6.843750,6.843750,6.562500,6.671875,3.128762,6928000
1991-03-18,6.656250,6.656250,6.468750,6.515625,3.055490,2060000
1991-03-19,6.421875,6.421875,6.265625,6.296875,2.952907,4192800
1991-03-20,6.296875,6.312500,6.156250,6.265625,2.938252,3277600
1991-03-21,6.265625,6.296875,6.156250,6.171875,2.894287,2351200
1991-03-22,6.171875,6.171875,5.984375,6.031250,2.828343,3663200
1991-03-25,6.031250,6.140625,6.015625,6.125000,2.872306,2093600
1991-03-26,6.125000,6.125000,6.062500,6.109375,2.864981,3200800
1991-03-27,6.109375,6.187500,6.062500,6.078125,2.850325,2304000
1991-03-28,6.078125,6.234375,5.953125,5.984375,2.806361,1659200
1991-04-01,5.984375,5.984375,5.937500,5.937500,2.784380,1438400
1991-04-02,5.953125,6.046875,5.953125,6.000000,2.813688,1878400
1991-04-03,6.000000,6.187500,6.000000,6.062500,2.842998,3258400
1991-04-04,6.093750,6.187500,6.093750,6.093750,2.857651,2211200
1991-04-05,6.093750,6.109375,5.937500,5.937500,2.784380,2349600
1991-04-08,5.937500,6.015625,5.937500,6.015625,2.821015,1205600
1991-04-09,6.000000,6.000000,5.937500,5.937500,2.784380,1406400
1991-04-10,5.937500,5.984375,5.796875,5.859375,2.747744,2554400
1991-04-11,5.859375,5.937500,5.859375,5.906250,2.769725,2009600
1991-04-12,5.906250,5.968750,5.781250,5.859375,2.747744,1960800
