Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,12.285305,12.503976,12.185910,12.503976,4.300686,7453795
1990-01-03,12.563613,12.722646,12.563613,12.702767,4.369063,7958722
1990-01-04,12.702767,12.722646,12.384701,12.503976,4.300686,4758758
1990-01-05,12.464218,12.663009,12.245547,12.245547,4.211806,6739478
1990-01-08,12.245547,12.464218,12.225668,12.404580,4.266504,4405373
1990-01-09,12.404580,12.484097,12.305184,12.305184,4.232316,3694200
1990-01-10,12.245547,12.384701,12.086514,12.146151,4.177617,6274795
1990-01-11,12.245547,12.344943,12.205789,12.245547,4.211806,3660874
1990-01-12,12.006997,12.106393,11.907602,11.947360,4.109243,7641806
1990-01-15,11.887723,11.947360,11.649173,11.649173,4.006684,8830238
1990-01-16,11.450382,11.649173,11.271469,11.629294,3.999846,11656066
1990-01-17,11.649173,11.728690,11.450382,11.450382,3.938310,8384419
1990-01-18,11.450382,11.609415,11.390744,11.609415,3.993009,6850147
1990-01-19,11.768448,11.768448,11.688931,11.688931,4.020359,5465530
1990-01-22,11.688931,11.708810,11.211832,11.271469,3.876772,5038574
1990-01-23,11.331107,11.549777,11.271469,11.430503,3.931472,8052413
1990-01-24,11.132316,11.669052,11.092557,11.549777,3.972494,9399931
1990-01-25,11.629294,11.688931,11.291349,11.331107,3.897285,4668840
1990-01-26,11.350986,11.510019,11.132316,11.450382,3.938310,4505981
1990-01-29,11.450382,11.589536,11.291349,11.470261,3.945145,2930208
1990-01-30,11.470261,11.510019,11.211832,11.390744,3.917797,4825411
1990-01-31,11.470261,11.490140,11.370865,11.490140,3.951985,5782445
1990-02-01,11.569656,11.569656,11.450382,11.450382,3.938310,3881582
1990-02-02,11.430503,11.669052,11.410623,11.529898,3.965658,2816395
1990-02-05,11.549777,11.569656,11.430503,11.450382,3.938310,3533856
1990-02-06,11.450382,11.470261,11.231711,11.231711,3.863099,4313568
1990-02-07,11.291349,11.589536,11.231711,11.569656,3.979334,4248173
1990-02-08,11.569656,11.629294,11.510019,11.569656,3.979334,4268923
1990-02-09,11.569656,11.629294,11.510019,11.589536,3.986171,3945091
1990-02-12,11.549777,11.589536,11.470261,11.470261,3.945145,2090131
1990-02-13,11.470261,11.490140,11.291349,11.331107,3.897285,4024949
1990-02-14,11.331107,11.390744,11.291349,11.331107,3.897285,2911973
1990-02-15,11.331107,11.569656,11.311228,11.569656,3.979334,2385667
1990-02-16,11.529898,11.549777,11.331107,11.370865,3.910960,6823738
1990-02-20,11.291349,11.311228,11.132316,11.271469,3.876772,4280870
1990-02-21,11.132316,11.211832,11.072678,11.172074,3.842587,6255302
1990-02-22,11.211832,11.251590,11.013041,11.092557,3.815237,4515413
1990-02-23,11.013041,11.052799,10.655216,10.814249,3.719515,10075891
1990-02-26,10.774491,10.993162,10.734733,10.893766,3.746864,8017200
1990-02-27,10.933524,11.052799,10.893766,10.973282,3.774213,5200805
1990-02-28,10.933524,11.013041,10.814249,10.873887,3.740028,7561320
1990-03-01,10.893766,11.052799,10.854008,10.993162,3.781052,6630696
1990-03-02,11.032920,11.072678,10.893766,11.072678,3.808400,5362406
1990-03-05,11.052799,11.132316,10.993162,10.993162,3.805648,4878230
1990-03-06,11.013041,11.211832,10.993162,11.211832,3.881344,4453790
1990-03-07,11.211832,11.231711,11.013041,11.052799,3.826294,4718515
1990-03-08,11.072678,11.092557,10.893766,10.973282,3.798765,7714118
1990-03-09,10.913645,10.953403,10.873887,10.893766,3.771237,5402021
1990-03-12,10.854008,10.893766,10.774491,10.893766,3.771237,4040040
1990-03-13,10.814249,10.854008,10.675095,10.675095,3.695536,4639915
1990-03-14,10.694975,10.893766,10.675095,10.854008,3.757476,4167686
1990-03-15,10.893766,10.993162,10.873887,10.973282,3.798765,3307488
1990-03-16,11.072678,11.251590,11.052799,11.251590,3.895110,8977378
1990-03-19,11.132316,11.291349,11.092557,11.271469,3.901993,4612248
1990-03-20,11.231711,11.271469,11.092557,11.112436,3.846938,4767562
