PERMNO,date,MSFT,CRSPVWRET
10107,19900102,0.020115,0.014433
10107,19900103,0.005634,0.000022
10107,19900104,0.029412,-0.006486
10107,19900105,-0.02449,-0.007631
10107,19900108,0.015342,0.003075
10107,19900109,-0.002747,-0.009269
10107,19900110,-0.027548,-0.006844
10107,19900111,-0.01983,0.002619
10107,19900112,-0.004335,-0.02255
10107,19900115,0,-0.008903
10107,19900116,0.030479,0.008722
10107,19900117,-0.014085,-0.006947
10107,19900118,0.085714,0.000333
10107,19900119,-0.009211,0.00315
10107,19900122,-0.035857,-0.022214
10107,19900123,-0.011019,-0.000081
10107,19900124,0.011142,-0.004773
10107,19900125,0,-0.009855
10107,19900126,0,-0.003405
10107,19900129,0.008264,-0.002976
10107,19900130,-0.002732,-0.008592
10107,19900131,0.013699,0.016312
10107,19900201,0.013514,0.001097
10107,19900202,0,0.007203
10107,19900205,0.005333,0.004264
10107,19900206,-0.002653,-0.004798
10107,19900207,-0.007979,0.01052
10107,19900208,0.010724,-0.000555
10107,19900209,0.002653,0.002516
10107,19900212,0.002646,-0.008742
10107,19900213,0,0.001495
10107,19900214,0.002639,0.00207
10107,19900215,0.021053,0.007679
10107,19900216,0.010309,-0.004366
10107,19900220,0.022959,-0.012805
10107,19900221,-0.041147,-0.001966
10107,19900222,0.002601,-0.003193
10107,19900223,0.011673,-0.005441
10107,19900226,0.017949,0.009423
10107,19900227,-0.012594,0.005183
10107,19900228,0.007653,0.005599
10107,19900301,0.012658,0.002961
10107,19900302,0.0375,0.008011
10107,19900305,0.014458,-0.003227
10107,19900306,-0.007126,0.010611
10107,19900307,-0.016746,-0.001645
10107,19900308,0.034063,0.008561
10107,19900309,0.002353,-0.004731
10107,19900312,0.016432,0.001731
10107,19900313,-0.018476,-0.006391
10107,19900314,0.009412,0.002619
10107,19900315,0.034965,0.002671
10107,19900316,0.027027,0.008939
10107,19900319,0.02193,0.00392
10107,19900320,-0.030043,-0.00508
10107,19900321,0.002212,-0.004066
10107,19900322,-0.01766,-0.011574
10107,19900323,-0.008989,0.004461
10107,19900326,0.011338,0.00173
10107,19900327,0.008969,0.007776
10107,19900328,-0.013333,0.00134
10107,19900329,-0.004505,-0.00304
10107,19900330,0.002262,-0.001393
10107,19900402,0.006772,-0.004029
10107,19900403,0.040359,0.012721
10107,19900404,0.008621,-0.005988
10107,19900405,-0.021368,-0.000996
10107,19900406,-0.002183,-0.002248
10107,19900409,0.002188,0.002047
10107,19900410,0.030568,0.001632
10107,19900411,0.025424,-0.000101
10107,19900412,-0.002066,0.00681
10107,19900416,0.006211,0.000896
10107,19900417,0.020576,-0.000704
10107,19900418,-0.022177,-0.010032
10107,19900419,-0.018557,-0.007279
10107,19900420,-0.004202,-0.008564
10107,19900423,-0.004219,-0.010963
10107,19900424,-0.016949,-0.002231
10107,19900425,0,0.004541
10107,19900426,-0.010776,0.002074
10107,19900427,-0.019608,-0.010253
10107,19900430,0.031111,0.004452
10107,19900501,-0.015086,0.004264
10107,19900502,0.019694,0.005668
10107,19900503,0.012876,0.003564
10107,19900504,0.04661,0.007833
10107,19900507,0.036437,0.005967
10107,19900508,-0.019531,0.003826
10107,19900509,0,0.001409
10107,19900510,0.027888,0.004172
10107,19900511,0.015504,0.019774
10107,19900514,0.003817,0.007842
10107,19900515,-0.015209,-0.000891
10107,19900516,0,-0.000746
10107,19900517,0,0.002435
10107,19900518,0.054054,0.001087
10107,19900521,0.029304,0.009446
10107,19900522,0.017794,0.001591
10107,19900523,0.061189,0.002005
10107,19900524,0.008237,-0.000576
10107,19900525,-0.029412,-0.00883
10107,19900529,0.013468,0.013671
10107,19900530,0.003322,0.001209
10107,19900531,-0.033113,0.001151
10107,19900601,0.02911,0.005492
10107,19900604,0.024958,0.010774
10107,19900605,-0.047078,-0.00153
10107,19900606,-0.005111,-0.003031
10107,19900607,-0.013699,-0.004297
10107,19900608,0.020833,-0.010236
10107,19900611,0.018707,0.006587
10107,19900612,0.013356,0.010834
10107,19900613,0.008237,-0.00208
10107,19900614,-0.013072,-0.004824
10107,19900615,0.006623,-0.000685
10107,19900618,-0.014803,-0.014122
10107,19900619,0.001669,0.003006
10107,19900620,0.035,0.001107
10107,19900621,-0.008052,0.002671
10107,19900622,-0.016234,-0.010011
10107,19900625,-0.016502,-0.007954
10107,19900626,0.003356,-0.000954
10107,19900627,0.020067,0.006606
10107,19900628,0.003279,0.006728
10107,19900629,-0.006536,0.002203
10107,19900702,-0.029605,0.003127
10107,19900703,-0.023729,0.001884
10107,19900705,0.003472,-0.009792
10107,19900706,0.013841,0.006186
10107,19900709,0.013652,0.002206
10107,19900710,-0.006734,-0.006086
10107,19900711,0.023729,0.01054
10107,19900712,0.02649,0.010528
10107,19900713,0.01129,0.004701
10107,19900716,0.011164,0.004133
10107,19900717,-0.018927,-0.004129
10107,19900718,-0.022508,-0.008366
10107,19900719,0.009868,0.001465
10107,19900720,-0.045603,-0.007857
10107,19900723,-0.017065,-0.018045
10107,19900724,-0.034722,0.000487
10107,19900725,0.028777,0.003915
10107,19900726,-0.038462,-0.002186
10107,19900727,0.003636,-0.006223
10107,19900730,-0.014493,0.002878
10107,19900731,-0.022059,0.001627
10107,19900801,0.003759,-0.00143
10107,19900802,-0.011236,-0.011008
10107,19900803,-0.041667,-0.017805
10107,19900806,-0.043478,-0.031547
10107,19900807,0.012397,0.002031
10107,19900808,0.036735,0.010735
10107,19900809,0.025591,0.005941
10107,19900810,-0.009597,-0.010886
10107,19900813,0.007752,0.006974
10107,19900814,-0.011538,0.002559
10107,19900815,0,0.002844
10107,19900816,-0.038911,-0.020331
10107,19900817,-0.024291,-0.014445
10107,19900820,-0.078838,-0.00083
10107,19900821,-0.022523,-0.019042
10107,19900822,-0.009217,-0.014791
10107,19900823,-0.037209,-0.031435
10107,19900824,0.10628,0.013849
10107,19900827,0.061135,0.030534
10107,19900828,0.034979,0.000968
10107,19900829,-0.037773,0.007242
10107,19900830,-0.008264,-0.013141
10107,19900831,0.025,0.009347
10107,19900904,0.012195,0.000922
10107,19900905,-0.052209,0.003995
10107,19900906,-0.025424,-0.009701
10107,19900907,0.004348,0.007489
10107,19900910,-0.034632,-0.003173
10107,19900911,-0.004484,-0.001574
10107,19900912,0.033784,0.003115
10107,19900913,0.002179,-0.010234
10107,19900914,0.03913,-0.005623
10107,19900917,0.016736,0.002192
10107,19900918,0.016461,0.001077
10107,19900919,0.004049,-0.004999
10107,19900920,-0.03629,-0.015243
10107,19900921,0.012552,-0.001751
10107,19900924,-0.033058,-0.020551
10107,19900925,0.032051,0.009762
10107,19900926,-0.00207,-0.010294
10107,19900927,-0.016598,-0.01432
10107,19900928,0.063291,0.014276
10107,19901001,0.065476,0.026022
10107,19901002,-0.018622,0.002635
10107,19901003,-0.001898,-0.010339
10107,19901004,-0.024715,0.001654
10107,19901005,0.009747,-0.00425
10107,19901008,0.019305,0.005437
10107,19901009,-0.045455,-0.024176
10107,19901010,-0.055556,-0.015102
10107,19901011,-0.02521,-0.017224
10107,19901012,-0.017241,0.012246
10107,19901015,-0.008772,0.008453
10107,19901016,-0.033186,-0.01314
10107,19901017,0.034325,0.000052
10107,19901018,0.081858,0.021594
10107,19901019,0.014315,0.017335
10107,19901022,0.032258,0.007851
10107,19901023,0.003906,-0.0044
10107,19901024,0.01751,0.000212
10107,19901025,-0.00956,-0.005624
10107,19901026,-0.021236,-0.015955
10107,19901029,-0.013807,-0.008941
10107,19901030,0.022,0.004255
10107,19901031,-0.001957,0.000644
10107,19901101,-0.003922,0.008037
10107,19901102,0.023622,0.014963
10107,19901105,0.009615,0.009563
10107,19901106,-0.020952,-0.006524
10107,19901107,-0.007782,-0.015161
10107,19901108,-0.003922,0.004051
10107,19901109,0.019685,0.017564
10107,19901112,0.063707,0.018473
10107,19901113,-0.00363,-0.002922
10107,19901114,0.01275,0.007987
10107,19901115,-0.023381,-0.008505
10107,19901116,0.001842,-0.000187
10107,19901119,0.022059,0.005659
10107,19901120,-0.017986,-0.010211
10107,19901121,0.007326,0.001002
10107,19901123,0,-0.001948
10107,19901126,0.021818,0.003071
10107,19901127,0.023132,0.006739
10107,19901128,-0.02087,0.000746
10107,19901129,0.012433,-0.003503
10107,19901130,0.014035,0.015778
10107,19901203,0.022491,0.006589
10107,19901204,0.00846,0.007184
10107,19901205,0.010067,0.011524
10107,19901206,-0.006645,-0.001445
10107,19901207,-0.006689,-0.003235
10107,19901210,-0.003367,0.002372
10107,19901211,-0.025338,-0.005682
10107,19901212,0.005199,0.009204
10107,19901213,0.003448,-0.000649
10107,19901214,0.012027,-0.007353
10107,19901217,0.005093,-0.003769
10107,19901218,0.016892,0.011516
10107,19901219,-0.004983,0.001051
10107,19901220,0.008347,0.000604
10107,19901221,0.003311,0.003009
10107,19901224,-0.006601,-0.00369
10107,19901226,-0.003322,0.002638
10107,19901227,-0.003333,-0.005724
10107,19901228,0.003344,0.00036
10107,19901231,0.003333,0.00498
10107,19910102,-0.006645,-0.008813
10107,19910103,0.006689,-0.01182
10107,19910104,0.008306,-0.002309
10107,19910107,-0.01318,-0.016346
10107,19910108,-0.018364,-0.002727
10107,19910109,0.006803,-0.009093
10107,19910110,0.057432,0.009429
10107,19910111,-0.003195,0.000868
10107,19910114,-0.016026,-0.009508
10107,19910115,0.021173,0.003183
10107,19910116,0.049442,0.009464
10107,19910117,0.021277,0.033074
10107,19910118,0.014881,0.00902
10107,19910121,0.049853,-0.000752
10107,19910122,-0.006983,-0.005899
10107,19910123,0.001406,0.005906
10107,19910124,0.016854,0.014341
10107,19910125,-0.01105,0.004249
10107,19910128,0.030726,0.001523
10107,19910129,0.00271,0.001066
10107,19910130,0.040541,0.014963
10107,19910131,0.019481,0.009568
10107,19910201,0.016561,0.000271
10107,19910204,-0.006266,0.015715
10107,19910205,0.021438,0.010277
10107,19910206,0.044444,0.017859
10107,19910207,-0.026005,-0.003433
10107,19910208,0.009709,0.006692
10107,19910211,0.002404,0.023406
10107,19910212,-0.009592,-0.005439
10107,19910213,0.021792,0.008805
10107,19910214,-0.045024,-0.011131
10107,19910215,0.024814,0.011687
10107,19910219,-0.007264,0.001523
10107,19910220,0.002439,-0.010218
10107,19910221,-0.026764,-0.000246
10107,19910222,0.0225,0.002227
10107,19910225,0.007335,0.004392
10107,19910226,-0.007282,-0.01048
10107,19910227,0.02934,0.011476
10107,19910228,-0.014252,0.000805
10107,19910301,0.019277,0.008371
10107,19910304,0.01182,0.000792
10107,19910305,0.042056,0.01872
10107,19910306,-0.038117,-0.000997
10107,19910307,-0.030303,0.000183
10107,19910308,-0.014423,-0.001836
10107,19910311,-0.031707,-0.005634
10107,19910312,-0.035264,-0.008146
10107,19910313,0.049608,0.010826
10107,19910314,-0.024876,-0.001446
10107,19910315,-0.014031,-0.002086
10107,19910318,0.027167,-0.002448
10107,19910319,-0.002519,-0.012276
10107,19910320,0,0.003676
10107,19910321,-0.042929,-0.002437
10107,19910322,-0.010554,0.001576
10107,19910325,0.048,0.0065
10107,19910326,0.069975,0.016058
10107,19910327,0.02497,0.000049
10107,19910328,-0.015081,-0.000331
10107,19910401,0.005889,-0.007887
10107,19910402,0.051522,0.019315
10107,19910403,0.013363,0.001303
10107,19910404,0,0.003189
10107,19910405,-0.032967,-0.008957
10107,19910408,0.0125,0.005881
10107,19910409,-0.010101,-0.010069
10107,19910410,-0.024943,-0.001837
10107,19910411,0.032558,0.011522
10107,19910412,-0.033784,0.006035
10107,19910415,0.060606,0.001968
10107,19910416,-0.013187,0.014233
10107,19910417,-0.006682,0.007752
10107,19910418,-0.013453,-0.004857
10107,19910419,-0.025,-0.009834
10107,19910422,-0.047786,-0.009336
10107,19910423,-0.004896,0.001777
10107,19910424,0.01353,0.002895
10107,19910425,-0.021845,-0.007303
10107,19910426,0,-0.001376
10107,19910429,-0.029777,-0.012574
10107,19910430,0.012788,0.002211
10107,19910501,0.017677,0.011984
10107,19910502,-0.002481,0.001922
10107,19910503,0.007463,0.000813
10107,19910506,0.014815,-0.00158
10107,19910507,-0.014599,-0.005006
10107,19910508,0.017284,0.002347
10107,19910509,0.026699,0.011488
10107,19910510,-0.028369,-0.015675
10107,19910513,0.00365,0.001862
10107,19910514,-0.018182,-0.01185
10107,19910515,-0.032099,-0.009834
10107,19910516,0.014031,0.009211
10107,19910517,-0.001258,-0.000181
10107,19910520,-0.001259,-0.000067
10107,19910521,0.029004,0.00745
10107,19910522,0.046569,0.002428
10107,19910523,0.025761,-0.001313
10107,19910524,0.004566,0.006375
10107,19910528,0.006818,0.010607
10107,19910529,-0.004515,0.002654
10107,19910530,0,0.010109
10107,19910531,-0.004535,0.007133
10107,19910603,0.020501,-0.002471
10107,19910604,0.008929,-0.000321
10107,19910605,-0.00885,-0.005235
10107,19910606,-0.007813,-0.003385
10107,19910607,-0.007874,-0.009041
10107,19910610,0.002268,-0.002186
10107,19910611,0.001131,0.004424
10107,19910612,0.00452,-0.010461
10107,19910613,-0.001125,0.002134
10107,19910614,0.022523,0.010401
10107,19910617,0,-0.003775
10107,19910618,-0.017621,-0.003599
10107,19910619,-0.07287,-0.009258
10107,19910620,-0.025393,0.000214
10107,19910621,0.014888,0.004215
10107,19910624,-0.040342,-0.016578
10107,19910625,0.006369,-0.001745
10107,19910626,0.020253,0.001376
10107,19910627,0.012407,0.006771
10107,19910628,0.001838,-0.006103
10107,19910701,0.047706,0.015764
10107,19910702,-0.045534,-0.001009
10107,19910703,-0.06055,-0.00923
10107,19910705,-0.035156,0.001917
10107,19910708,0.08502,0.008084
10107,19910709,0.01306,-0.000854
10107,19910710,-0.038674,0.000404
10107,19910711,0.015326,0.002929
10107,19910712,0.026415,0.007602
10107,19910715,0.027574,0.006161
10107,19910716,-0.033989,-0.001752
10107,19910717,0.003704,-0.000131
10107,19910718,-0.01107,0.009041
10107,19910719,0.011194,-0.001929
10107,19910722,-0.00369,-0.003425
10107,19910723,-0.014815,-0.00842
10107,19910724,-0.015038,-0.002706
10107,19910725,0.007634,0.005388
10107,19910726,0.075758,0.000878
10107,19910729,-0.010563,0.004775
10107,19910730,0.035587,0.008723
10107,19910731,0.010309,0.003968
10107,19910801,-0.003401,-0.000973
10107,19910802,0,0.000809
10107,19910805,-0.013652,-0.004847
10107,19910806,0.031142,0.011969
10107,19910807,0.020134,0.001144
10107,19910808,0.039474,-0.001488
10107,19910809,0.022152,-0.003925
10107,19910812,0.027864,0.001978
10107,19910813,-0.006024,0.004441
10107,19910814,0,0.002259
10107,19910815,-0.012121,-0.001346
10107,19910816,0.003067,-0.007974
10107,19910819,-0.018349,-0.023036
10107,19910820,0.003115,0.007127
10107,19910821,0.043478,0.027107
10107,19910822,0,0.002229
10107,19910823,0.014881,0.006183
10107,19910826,0,-0.000292
10107,19910827,-0.005865,-0.000906
10107,19910828,0.010324,0.008422
10107,19910829,0.00146,0.000028
10107,19910830,-0.005831,-0.001435
10107,19910903,-0.024927,-0.007347
10107,19910904,-0.006015,-0.005382
10107,19910905,-0.025719,-0.002508
10107,19910906,0.003106,0.000119
10107,19910909,0,-0.000995
10107,19910910,-0.009288,-0.010083
10107,19910911,0.025,0.0018
10107,19910912,0.044207,0.006593
10107,19910913,-0.030657,-0.008549
10107,19910916,0,0.004197
10107,19910917,0.018072,-0.000361
10107,19910918,0.002959,0.003527
10107,19910919,0.017699,0.003243
10107,19910920,0.002899,0.002261
10107,19910923,-0.018786,-0.004277
10107,19910924,0.036819,0.004591
10107,19910925,-0.002841,-0.001444
10107,19910926,0.017094,-0.000196
10107,19910927,-0.011204,-0.001547
10107,19910930,0.008499,0.005512
10107,19911001,-0.001404,0.002719
10107,19911002,-0.021097,-0.002361
10107,19911003,0.005747,-0.00887
10107,19911004,0.007143,-0.005721
10107,19911007,0.004255,-0.005612
10107,19911008,0.008475,0.002624
10107,19911009,0.002801,-0.008432
10107,19911010,0.002793,0.007061
10107,19911011,-0.001393,0.003056
10107,19911014,0.029289,0.011955
10107,19911015,-0.009485,0.011922
10107,19911016,-0.00684,0.006814
10107,19911017,-0.016529,-0.002361
10107,19911018,0.008403,0.001829
10107,19911021,0.011111,-0.005529
10107,19911022,0.004121,-0.003832
10107,19911023,-0.012312,-0.00046
10107,19911024,0,-0.007669
10107,19911025,-0.00831,-0.002843
10107,19911028,0.00838,0.011439
10107,19911029,0.00554,0.005907
10107,19911030,0.041322,0.005325
10107,19911031,-0.006614,0.001294
10107,19911101,-0.013316,-0.002711
10107,19911104,-0.017544,-0.002984
10107,19911105,0.03022,-0.002225
10107,19911106,0.016,0.002803
10107,19911107,-0.005249,0.009026
10107,19911108,0.005277,0.000282
10107,19911111,0.023622,0.001565
10107,19911112,0.024359,0.008718
10107,19911113,0.011264,0.001393
10107,19911114,-0.017327,-0.000983
10107,19911115,-0.042821,-0.034069
10107,19911118,0.023684,0.005141
10107,19911119,-0.010283,-0.015426
10107,19911120,0.002597,-0.001212
10107,19911121,0.007772,0.004238
10107,19911122,-0.012853,-0.009163
10107,19911125,-0.003906,-0.003025
10107,19911126,-0.011765,0.004763
10107,19911127,0.007937,-0.001972
10107,19911129,0.020997,-0.001413
10107,19911202,0.041131,0.013489
10107,19911203,0.001235,0.000811
10107,19911204,0.006165,-0.001293
10107,19911205,-0.002451,-0.005039
10107,19911206,0.02457,0.003774
10107,19911209,-0.021583,-0.002034
10107,19911210,-0.002451,-0.001235
10107,19911211,-0.009828,-0.002004
10107,19911212,0.012407,0.00872
10107,19911213,0,0.007073
10107,19911216,0.001225,0.001531
10107,19911217,-0.002448,-0.004858
10107,19911218,0.009816,0.001109
10107,19911219,-0.001215,-0.003845
10107,19911220,0.004866,0.009688
10107,19911223,0.033898,0.022189
10107,19911224,-0.004684,0.00817
10107,19911226,0.015294,0.013938
10107,19911227,0.023175,0.006093
10107,19911230,0.003398,0.020303
10107,19911231,0.004515,0.006064
10107,19920102,0.024719,-0.000592
10107,19920103,-0.008772,0.005579
10107,19920106,0.030973,0.000018
10107,19920107,0.030043,0.000525
10107,19920108,0.035417,0.003954
10107,19920109,0.024145,0.002775
10107,19920110,-0.015717,-0.005939
10107,19920113,0.01497,-0.000875
10107,19920114,0.00885,0.013024
10107,19920115,0.025341,0.002916
10107,19920116,-0.028517,-0.005337
10107,19920117,-0.009785,0.001255
10107,19920120,-0.031621,-0.005989
10107,19920121,-0.02551,-0.011051
10107,19920122,0.051309,0.013444
10107,19920123,-0.003984,-0.004011
10107,19920124,-0.003,0.001264
10107,19920127,-0.032096,-0.001468
10107,19920128,0.001036,0.000131
10107,19920129,0.031056,-0.009785
10107,19920130,-0.008032,0.004172
10107,19920131,-0.026316,-0.00481
10107,19920203,0.039501,0.002604
10107,19920204,-0.004,0.009858
10107,19920205,0.022088,0.002355
10107,19920206,-0.007859,0.000532
10107,19920207,-0.00396,-0.005349
10107,19920210,-0.00994,0.004783
10107,19920211,-0.016064,0.000312
10107,19920212,0.026531,0.008709
10107,19920213,-0.025845,-0.008016
10107,19920214,-0.026531,-0.002059
10107,19920218,-0.008386,-0.011551
10107,19920219,-0.026427,0.000003
10107,19920220,0.02063,0.012474
10107,19920221,-0.025532,-0.004983
10107,19920224,0.003275,-0.000364
10107,19920225,0.007617,-0.004183
10107,19920226,0.053996,0.011719
10107,19920227,0.023566,-0.000865
10107,19920228,-0.011011,-0.002338
10107,19920302,-0.004049,0.000958
10107,19920303,0.002033,0.000517
10107,19920304,-0.006085,-0.007033
10107,19920305,-0.010204,-0.008408
10107,19920306,-0.024742,-0.005362
10107,19920309,0.006342,0.001412
10107,19920310,0.023109,0.005301
10107,19920311,-0.01232,-0.007128
10107,19920312,0.007277,-0.00126
10107,19920313,-0.001032,0.004298
10107,19920316,0.02686,0.000298
10107,19920317,0.030181,0.007302
10107,19920318,-0.012695,0.000023
10107,19920319,0.008902,0.001774
10107,19920320,0.007843,0.001752
10107,19920323,0,-0.002658
10107,19920324,-0.007782,-0.002592
10107,19920325,0.007843,-0.001184
10107,19920326,-0.027237,-0.000975
10107,19920327,-0.03,-0.010421
10107,19920330,-0.010309,-0.00186
10107,19920331,-0.0125,0.001499
10107,19920401,0.016878,0.000199
10107,19920402,-0.029046,-0.009487
10107,19920403,0.004274,0.000386
10107,19920406,0.031915,0.009007
10107,19920407,-0.043299,-0.01774
10107,19920408,0.010776,-0.010243
10107,19920409,0.023454,0.015967
10107,19920410,-0.033333,0.00745
10107,19920413,0.012931,0.004585
10107,19920414,-0.004255,0.013444
10107,19920415,0.101496,0.007901
10107,19920416,-0.009699,-0.002718
10107,19920420,-0.074437,-0.014468
10107,19920421,-0.016931,-0.001111
10107,19920422,0.012917,-0.00017
10107,19920423,-0.01594,0.002202
10107,19920424,-0.030238,-0.004537
10107,19920427,0.008909,-0.002185
10107,19920428,-0.037528,-0.000772
10107,19920429,0.021789,0.00767
10107,19920430,-0.010101,0.008763
10107,19920501,0.031746,-0.00403
10107,19920504,0.002198,0.009849
10107,19920505,0.02193,0.001794
10107,19920506,-0.004292,0.000615
10107,19920507,-0.008621,-0.001465
10107,19920508,-0.004348,-0.000075
10107,19920511,-0.004367,0.005332
10107,19920512,0.002193,-0.004536
10107,19920513,-0.013129,-0.000289
10107,19920514,-0.017738,-0.007544
10107,19920515,-0.006772,-0.005709
10107,19920518,0.025,0.005159
10107,19920519,0.015521,0.006926
10107,19920520,0.019651,-0.000583
10107,19920521,-0.001071,-0.005953
10107,19920522,-0.007503,0.002991
10107,19920526,-0.00216,-0.006315
10107,19920527,-0.004329,0.001798
10107,19920528,0.034783,0.008447
10107,19920529,0.016807,0.000279
10107,19920601,0.02686,0.004485
10107,19920602,-0.011066,-0.005655
10107,19920603,0.001017,0.001755
10107,19920604,-0.003049,-0.002888
10107,19920605,-0.013252,-0.000669
10107,19920608,-0.022727,-0.001224
10107,19920609,-0.027484,-0.008092
